admin: DATABASE_URL (doppler/env)
app_service: APP_SERVICE_DATABASE_URL (doppler/env)

[PASS] 0a  services.cost_model and services.profitability agree on the cost_type vocabulary
[PASS] 1a  public.revenue_events is deployed as a table
[PASS] 1b  revenue_events has RLS enabled
[PASS] 1c  revenue_events' policy is org-isolating, NULLIFs the GUC and carries the super-admin bypass
[PASS] 1d  services.profitability.REVENUE_TYPES matches the deployed revenue_events_type_check exactly, both directions
[PASS] 1e  SOURCE_TYPES matches revenue_events_source_type_check exactly
[PASS] 1f  the source_id-required CHECK is deployed
[PASS] 1g  the source dedupe index is UNIQUE on (org_id, source_type, source_id) over live rows with a source
[PASS] 1h  cost_events_linked_revenue_event_fkey exists and points at revenue_events(id) — the FK fee37 had to defer
[PASS] 1i  the FK is genuinely ENFORCED: a cost_event pointing at a non-existent revenue_event is refused
[PASS] 1j  the view UNIONs both sides for ACC_P1: 2 revenue rows, 2 cost rows
[PASS] 1k  every REVENUE row's signed_amount is POSITIVE
[PASS] 1l  every COST row's signed_amount is NEGATIVE — the view negates cost_events.amount, which is stored positive
[PASS] 1m  category carries revenue_type on one side and cost_type on the other
[PASS] 1n  SUM(signed_amount) over ACC_P1 is the hand-computed $10,500 (13,000 revenue - 500 custody - 2,000 comp)
[PASS] 2a  the Q1 run previewed 2 lines
[PASS] 2b  the two lines carry the hand-derived $2,500.00 and $2,000.00
[PASS] 2c  the run reached POSTED
[PASS] 2d  post_run reports 2 revenue_events emitted, 0 skipped
[PASS] 2e  exactly 2 revenue_events rows appeared — one per fee_run_line
[PASS] 2f  each revenue_event's source_id IS a fee_run_line id, one to one
[PASS] 2g  amounts match net_fee EXACTLY, to the stored scale
[PASS] 2h  ASSET_MANAGEMENT lines mapped to revenue_type ADVISORY_FEE
[PASS] 2i  source_type is FEE_RUN_LINE and recognition is ACCRUAL on both
[PASS] 2j  event_date is the run's period_end, and the accrual period is carried through unchanged
[PASS] 2k  every dimensional key (household, advisor) is carried from the line onto the revenue_event, so the cuts work on emitted revenue
[PASS] 3a  re-processing the same POSTED run emitted 0 and skipped 2 — a clean, counted no-op rather than a constraint violation
[PASS] 3b  still exactly 2 revenue_events rows
[PASS] 3c  the same two row ids survived — nothing was deleted and re-inserted behind a stable count
[PASS] 3d  created_at did not move on either row
[PASS] 3e  the DATABASE refuses a duplicate (org, source_type, source_id) independently of the service layer
[PASS] 4a  emit_revenue_for_run contains no branch on run_type or REVERSAL — a reversal really does take the same path, it is not two implementations that happen to agree
[PASS] 4b  the reversal's lines carry negated net_fee
[PASS] 4c  posting the reversal emitted its own 2 revenue_events
